BAHASA TUNJUNG,TURUNAN KATA,BAHASA INDONESIA,BAHASA INGGRIS,JENIS KATA,KALIMAT BAHASA TUNJUNG,KALIMAT BAHASA INDONESIA,KALIMAT BAHASA INGGRIS ,DIALEK
nagooi,,panggil; memanggil ,call,v,Meeq nagooi Dayang nohooq muliq kumaan.,Ibu memanggil Dayang untuk pulang makan.,Mother called Dayang to come home and eat.,(rentenukng)
nagsur,,meniti,to tread / to walk carefully,v,penyentangih manceq pedaraaq nagsur calaq pedararaaq,Pemimpin ritual mengantar arwah meniti jalan menuju akhirat,The ritual leader guides the spirit to tread the path toward the afterlife,
nahat,,biawak,monitor lizard,n,ewat lebi nahat aneh kuman manuk botos,mau sekali biawak itu makan ayam busuk,The lizard really wants to eat rotten chicken,
nahan,,menahan,"to hold, to restarain, to endure",v,baq nau-nau kamiq sooq nahan pekuur,berhari-hari kami sudah menahan lapar,We have endured hunger for days,
nahiq,,nasi,rice,n,,,,
nahun,,hijau,green,a,,,,
nahun laot,,biru,blue,a,,,,
nain,,usus; jeroan,intestine(s) / bowel(s) / gut(s)/innards,n,,,,
nain hajaq,,usus besar,"colon, large intestine",n,,,,
nain itit,,usus kecil,small intestine,n,,,,
naiq,,perut,stomach,n,naiq kamiq mulai periq sion senau calatn pelau lowongan kerjaq,perut kami mulai lapar karena seharian berjalan mencari lowongan kerja,our stomachs were starting to feel hungry because we had been walking all day looking for job vacancies.,
naiq,naiq perah,perut sakit,stomachache,n,akui kumaan sabeq taloh naiq perah,saya makan lombok langsung sakit perut,I ate chili and immediately got a stomachache,
"nakaar,metoor",,tengik,"rancid smell, bratty, annoying",a,jooq tuhiq nakaar was,itu bocah tengik,That bratty kid,
nakaat,,melawan,"resist, oppose",v,,,,
nakar,,nakal,naughty,a,kabatu tuhiq jok nakar was,anak-anak itu nakal sekali,That children are very naughty.,
nakat jalaq,,membuat jala; menjurai jala,to make a fishing net / to weave a fishing net,v,,,,
nakatn,,cempedak (artocarpus cenpeden),cempedak fruit (Artocarpus champeden),n,Lengaan nyo gempeet dang lengaan nakaatn.,Pohon kelapa berdempetan dengan pohon cempedak.,he coconut tree is standing close to the cempedak tree,
nakatn,nakatn belanda,sirsak,soursop (Annona muricata),n,ewah pehaluq nakant belana ayan bahant jus,mau minta sirsak untuk buat jus,I want some soursop to make juice,
nakatn,nakatn jawaaq,nangka,jackfruit (Artocarpus heterophyllus),n,yaman was kumant sayur nakatn jawaaq,enak sekali makan sayur nangka,It's delicious to eat jackfruit vegetables,
naket,,merajut (jaring),to weave a net,v,,,,
nakiq,,memohon; meminta,"to beg, to plead, to implore",v,kamin ewah nakiq hagiq munaan,kami mau meminta jatah lembo,we want to ask for a share of the lembo,
nala,,menerangi,"to light up, to brighten",v,lampu diq likuq nala bilik kayooq,Cahaya lampu dari dapur menerangi kamarku,The kitchen lamp lights up my room,
nalaau,,tokoh laki-laki dalam dongeng orang dayak,Male character in a Dayak folktale,n,,,,
nalik,,balik,"return, reverse",v,,,,
naliq,,memitul; menalikan,to tie / to bind,v,,,,
nalitn,,merawat,"to take care of, to look after",v,,,,
naloh,,jadilah sesuai dengan ucapan.,Be true to your word,v,,,,
nalukng,,manusia hantu dalam dongeng orang dayak,Human-ghost in a Dayak legend,n,,,,
namaaq,,memasukkan (secara umum),to put in / to insert / to place,n,,,,
namak,,menimbun,to pile up,v,akui bantu eraq namak tanaaq,saya bantu mereka menimbun tanah ,I helped them pile up the land,
namak,,ibu,mother,n,amun jo temurung uhaaq namak,air itu diminum oleh ibu,the water was drunk by the mother,
namaq,,nama,name,n,,,,
name,,menambah,add,v,name agi anum akui tih,tambah juga air minum saya ini,Also add to my drinking water,
nameq,,bawa; membawa,"to carry, to bring",v,,,,
namit,,nasi,rice,n,eraq ewah muruq teh apan kuman namit beneh?,mereka mau minum teh atau makan nasi saja?,do they want to drink tea or just eat rice?,
namit,namit bariq,nasi basi,spoiled rice / rotten rice,n,namit bariq aneh dahapm was lam simpiq,nasi basi itu banyak sekali dalam panci,there was a lot of rotten rice in the pot,
namit,namit celap,nasi dingin,cold rice,n,usur no akui ngeloq namiit celap,tadi pagi saya goreng nasi dingin,"This morning, I fried cold rice",
namit,namit kepar,nasi keras,dried rice,n,akui kaheq tahan kuman namiit kepar,Saya tidak sanggup makan nasi yang keras,I can’t stand eating hard rice,
namit,namit mataq,nasi belum matang,undercooked rice,n,kuman ogen biar namit uge mataq,makan saja biar nasi belum matang,just eat even though the rice is undercooked,
namit,namit temaus,nasi kukus,steamed rice,n,,,,
namoh,,"menimbun, menutup.","to pile up, to hoard",v,,,,
nampeer,,menyambar atau memukul dengan sayap.,to flap at / to lash with wings,v,,,,
nampukng,,menuai padi yang belum masak penuh.,to harvest unripe rice,v,kamin kat nampukng parai pulut ,kami pergi menuai padi ketan,We went to harvest sticky rice.,
mampui,,menahan dari bawah,to prop up,v,manpui agi koi teq iwe jooq,tahan juga kamu dari bawah itu,You can also hold it from below.,
namuq,,suluh; obor; dian; pelita,"torch, lamp",n,,,,
,,untuk,to/for,prep,,,,
nanaaq,,memberi tanda,"to mark, to tag",v,,,,
nanak,,rebus; merebus,"boil, simmer",v,Neli nonol apuui ewah nanak anum.,Neli menyalakan api untuk merebus air,Neli lit the fire to boil water.,
nanaq,,nanah,pus,n,ganaan kayoq kerehe nanaaq,Luka saya mengeluarkan nanah,My wound is oozing pus.,
nangakng,,menggonggong,to bark,v,kokoq lehaq hajaq dang ngaas nangakng,Anjing jantan yang besar dan kuat sedang menggonggong.,"A big, powerful male dog is barking",
nangas,,mengukus,steam,v,pajik nangas namit dilam cangkooq,baik kukus nasi di dalam wajan,good to steam rice in a pan,
nangep,,menjaring (ikan),to cast a net,v,,,,
nanges,,memanasi bambu aren,to heat aren bamboo,v,,,,
nangi,,menangis; merengek,cry,v,"uhaq nangi, tuhiq joq nogeq-nogeq meeqke","dia menangis, dia memanggil-manggil ibunya","he cried, he called for his mother",
nangi mungur,,menangis tersedu - sedu.,sob,v,,,,
nangi ngurikng,,meratapi.,"mourn, grieve",v,,,,
nangkap,,tangkap (me-),catch,v,nangkap waweeq jooq !,tangkap perempuan itu !,Catch that woman!,
nangkap,,menangkap,catch,v,tungkan aap nangkap metuq deq iyatn dang jalaq,kakak menangkap ikan di sungai dengan jala,my brother catches fish in the river with a net,
nangkar,,mendorong (dengan telapak kaki),to kick,v,,,,
nangkih,,menangkis,block,v,untung akui sempat nangkih pakai kokot,untung saya sempat menangkis pakai tangan,"Luckily, I managed to block it with my hand.",
nango,,memuji,praise,v,waweeq aneh teq nango lebi empoi ke,cewek itu di puji sekali neneknya,The girl's grandmother praised her very much.,
nangoor,,memasang pancing ikan,to bait a hook,v,,,,
naniq,,buang air besar,"defecate, poop",v,,,,
nantaak,,cicit burung (memanggil),chirp,v,,,,
nantaaq,,melicinkan (papan),to smooth (a board),v,,,,
nantaatn,,menadah.,"cup, scoop",v,nantant koi anum ucant pakai ember jooq,menandah kamu air hujan pakai ember itu,scoop rainwater with a bucket,
nantakng,,memperdebatkan,"debate, argue",v,,,,
nantiq,,menunggu,"wait, await",v,kepai kamin nantiq kapm moot calant teq talutn,capek kami menunggu kalian datang jalan dari hutan,We're tired of waiting for you to come walking from the forest,
nanuk,,menanduk,gore,v,sapi nanuk dadaaq ulutn yaq libas,Sapi menanduk siapa saja yang lewat,The cow gores anyone who passes by,
nanyak,,mengayuh; mendayung,"paddle, row",v,Kemigaq uncuq yaq kalaq nayaak aluur ke.,Saya dan paman yang bertugas mendayung perahu,My uncle and I were in charge of rowing the boat,
nanyak munpuq,,orang yang meronta-ronta sambil menendangkan kaki ke arah orang yang di depannya,A person struggling while kicking toward the person in front.,v,,,,
naong,,menebang,cut down,v,Bapak noang kajuu dang doonk,Bapak menebang pohon dengan parang,Father cut down a tree with a machete,
napak,,telanjang kaki,barefoot,n,booq lihaq ngedoot ja begukng napak bneh,Kakek berjalan ke bigung dengan telanjang kaki.,Grandfather walked to the bigung barefoot.,
napar,,memasukkan makanan ke mulut orang lain; atau menyendokkan makanan ke mulut,"to feed,",v,,,,
napek,,menampar; menepuk,"slap, smack",v,uncaq napeek ja anak ke,paman menampar wajah anaknya,Uncle slapped his child’s face.,
napek nepap,,menggampar.,"slap, smack",v,,,,
napukng,,eceng gondok,Water hyacinth,n,,,,
nareq,,beri,give,v,akui sooq nareq uman meong,saya sudah kasih makan kucing,I have given food to the cat,
naroh,,simpan,"keep, store",v,naroh sapai dilapm lemari plastik,Simpan di dalam lemari plastik.,Store it in a plastic cabinet,
nasuq,,menyusul ; mengikuti kemudiam,"follow, come after",v,,,,
nasuuk,,tajam,"sharp, keen",a,,,,
natar,,halaman,yard,n,koi ewah beroheq apan nyapu natar?,kamu mau mencuci piring atau menyapu halaman?,do you want to wash the dishes or sweep the yard?,
natoq,,getah pohon ,tree sap,n,,,,
nau,,hari,day,n,Perakng lebi nau tih,Panas sekali hari ini,It’s very hot today.,
nau,nau dilau,besok,tomorrow,adv,nau dilau akui ewah kaat je Barong,besok saya akan pergi ke Barong,Tomorrow I will go to Barong.,
nau,nau muhing,kemarin,yesterday,n,ulutn diq lamin nau muhing bekencaak.,Orang memasak di lamin kemarin.,People were cooking at the Lamin yesterday.,
nau,nau bajik,cuaca cerah,sunny weather,n,nau bajik ewah kat neriwih,cuaca cerah mau pergi nancing,"The weather was sunny, I wanted to go fishing.",
nau,nau celap,cuaca dingin,cold weather,n,nau celap ewah tiro ogen,cuaca dingin mau tidur terus,"The weather was cold, I wanted to sleep.",
nau,nau ewah petakng,hari hampir gelap,almost dark,n,muli nau soo ewah petakng,pulang hari sudah mau gelap,"When I got home, it was almost dark.",
nau,nau kedup,mendung mau turun hujan: dakutn kapaar mendung,cloudy,a,,,,
nau,nau kepaat,hari keempat ke depan,The fourth day ahead,n,,,,
nau,nau keregaq,hari kedua,The second day ahead,n,ewah calatn nau keregaq ji unaq,mau jalan hari kedua pergi keladang,want to go on the second day to go to the fields,
nau,nau keteluq,hari ketiga ke depan,The third day ahead,n,,,,
nau,nau mulai pogaaq ,hari mulai terang,It's getting light,n,,,,
nau,nau perakng,cuaca panas,Hot weather,n,nau perakng was tih bisa ewah ucatn,cuaca panas sekali bisa mau hujan,"The weather is very hot, it could rain.",
nau,nau raduuq,hari istirahat,Rest day,n,tempo mau raduuq kerja,kapan hari istrahat kerja,When is the rest day from work?,
nau,nau ucatn,hari hujan,Rainy day,n,nau tih ucatn ogen,hari ini hujan terus,It's been raining all day today.,
naweng,,panjat,climb,v,,,,
nayuq,,dewa,"god,",n,,,,
nayuq seniang,,roh pendamping orang dayak ,Dayaknese Guardian spirit,n,,,,
neak,,menginjak naik,step up,v,,,,
neau,,melihat,see,v,"sion kaheq neau taoq ulay watu kotas, uhaq tenabrak motor","karena tidak melihat kanan kiri waktu menyeberang, dia tertabrak motor","because he didn't look left and right side when crossing, he was hit by a motorbike.",
neau jemooq,,tengadah,look up,v,,,,
neau-neau,,melihat-lihat,look around,v,kamiq tetaq kaat neau-neau beneh ja paneran kelapm no,Kami hanya pergi melihat-lihat ke pameran tadi malam,We just went to the exhibition last night to look around,
nebaq,,menerbangkan,"fly, launch",v,,,,
nebeq,,buang,"throw away, throw out",v,nebeq saq beekng loneeq!,buang saja barang bekas begini!,Just throw away these old items!,
nebeu,,menumpahkan air dari dalam baskon,Spill water from the bowl,v,,,,
neboor,,datang,"come, arrive, show up",v,,,,
neboos,,puru patek pada telapak kaki.,Pustule on the sole,n,,,,
nebur,,menumpahkan air; menembuskan kolam supaya air keluar,Drain the pond / Empty the pond,v,,,,
nebus,,tebus,redeem,v,,,,
necaak neheek,,menginjak-injak,stamp on/stomp on,v,,,,
necak,,menginjak,stamp on/stomp on,v,,,,
nee,,itu,that,pron,Akuq anye beneh ngancar nee nyi.,Saya ikut saja menari tadi,I just joined in that dance earlier,
neeq,,ini,this,,,,,
neeq mahah,,itu saja adanya,That’s all there is to it,,,,,
neges,,ditanyakan,"asked, questioned",v,,,,
negot,,meneguk; memelan ludah.,swallow saliva,v,,,,
negur,,memberitahukan dan meminta tolong; menegur,"inform, notify",v,,,,
neheek,,menginjak padi untuk memisahkan butir dari tangkainya. ,Stomp on the rice to thresh it,v,,,,
nekant,,menekan,press,v,nekant ngaq ngaas eteq mooq,menekan yang kuat dari atas,strong pressure from above,
nekatn,,"tekan; menindih, menekan",press,v,adui nekatn ngaq ngaas was,jangan tekan terlalu kuat,do not press too strong,
neker,,batuk,cough,v,,,,
nelamaq,,berhadapan; menghadap,"face, confront",v,,,,
nelituk,,membelakangi,turn one's back on,v,,,,
nemaq,,meninggal,"pass away, die",v,saq nemaq taotn alui siq,dia meninggal tahun lalu,She passed away last year,
nemcang netar,,memotong-motong sampai sekecil-kecilnya ,"chop, mince",v,,,,
nemcaq nerap,,menyepelekan kemampuan orang lain,"underestimate, belittle",v,,,,
nemcep,,pancang,Pile / Stake / Post,n,,,,
nemek,,menembak,shoot,v,,,,
nemeng,,telinga,ear,n,,,,
nemeq,,membawa,bring,v,seginaq muliq pak guru pekingat kamiq mai kami dilau nemeq tanaman uwat,sebelum pulang pak guru mengingatkan kami agar kami besok membawa tanaman obat-obatan,"before going home, the teacher reminded us to bring medicinal plants tomorrow.",
nemey,,telinga,ear,n,,,,
nemiq,,menggendong di belakang,piggyback,v,,,,
nemiq nganitn,,orang yang jerih memelihara anak,devoted caregiver,n,,,,
nempah,,menyiapkan,"prepare, set up",v,,,,
nempak,,membuat takikan dalam dan lebar pada batang,Carve deep and wide grooves in the trunk,v,,,,
nempalakng,,lempar (me-); melempar secara jauh; melempar jauh,"throw, toss, hurl",v,,,,
nempap,,tempeleng,"slap, smack",v,,,,
nempeleng,,menempeleng,"slap, smack",v,,,,
nempik,,menepis dengan tangan; tampik,Ward off / Brush away,v,,,,
nempokng henaq ,,lahan baru untuk perladangan,New farmland,n,,,,
nempuh,,"menendang bola yang sedang bergerak, menyongsong. ",Receive and kick the ball,v,,,,
nempuk,,menaikkan ke atas (kelambu),pull up (the mosquito net),v,,,,
nempukuq,,mengikat (tali),tie,v,,,,
nempuluq,,burung,bird,n,mempuluk jo kunan netuuk,burung itu memakan ikan,the bird eats fish,
nempur,,menggempur,"assault, attack",v,,,,
nempuutn,,mengisahkan asal-usul,Describe the genesis,v,,,,
nemu,,mandi,"bath, shower",v,,,,
nemuhing,,kemarin,yesterday,"n, adv",nesar akuq heeq amput koq nemuhing,Saya menyesal tidak ikut denganmu kemarin!,I regret not joining you yesterday!,
nemuncuq,,menonjol dari dalam tanah.,Stick out of the ground,v,,,,
nemungur,,muatan yang menggunung,A piled-up load,n,,,,
nencah,,melewati,"pass, cross",v,,,,
nencakng,,memulai,"start, begin",v,,,,
neneng,,telinga,ears,n,ngapuut neneeng,tutup telinga,close your ears,
nenes,,menuduh,"accuse, blame",v,,,,
nengan,,beri,give,v,sekelep kai tih sooq temengan latala enta,,,
nengaq,,membuat,make,v,meeq nengaq uman dang caraq teninuq,ibu membuat makanan dengan cara dibakar,mother makes food by grilling,
nengaq,,memukul,beat,v,tuhiq joq nengaq kokoqke dang gai,anak itu memukuli anjingnya dengan rotan,the child beat his dog with a rattan cane,
nengaq,,mengadakan,"hold, celebrate",v,"watu kamiq moot deq kampukng joq, warga lagiq nengaq pesta adat","ketika kami datang di kampung itu, warga sedang mengadakan pesta adat","when we arrived at the village, the residents were holding a traditional party.",
nengekng,,jinjing,carry,v,,,,
nenget,,tentengan,"load, burden",n,,,,
nengka,,minta-minta,"beg, panhandle",v,,,,
nengkaruq,,mencari (buah di bawah pohon),Pick up (fruit),v,,,,
nengkaruq,,pagi-pagi sekali,dawn,adv,,,,
nengkat,,memegang,"hold, grip, handle",v,,,,
nengkatn,,meletakkan panci atau kuali di atas tungku ,Set the pot on the stove,v,,,,
nengkelapm,,menenggelamkan,"to drown, submerged",v,bahayaaq gagaaq lebi nengkelapm ja lan luhuq,Buaya dengan cepat menenggelamkan dirinya di lubuk,The crocodile quickly submerged itself into the deep pool,
nengkelit,,sebentar,a moment / a while,adv,,,,
nengkenan,,keadaan tidak ada makanan sama sekali,A state of complete lack of food.,n,,,,
nengkih,,membuang atau meratakan bagian batu atau benda yang menonjol,To flatten or even out the part of something,v,,,,
nengkoah,,menzalimi; menjahati,"opress, mistreat",v,,,,
nengkokng,,menuang.,"pour, spill",v,,,,
nengkokng,,memendekkan (rok),to shorten (a skirt),v,,,,
nengkolakng,,"memotong atau menyela pembicaraan tanpa permisi,",to interrupt,v,,,,
nengkolaq,,berdagang kecil - kecilan atau menjadi tengkulak,to be a petty trader,v,,,,
nengkulik,,dapat kembali,able to come back,v,,,,
nengkulu,,menelungkup.,lie face down,v,,,,
nenoq,,mengambil,"take, get",v,dea memooq nanit non akui,dea mengambil nasi untuk saya,Dea gets rice for me,
nenoq,,mengambil,"take, get",v,boteq nenoq barang ulutn,jangan mengambil barang orang lain,Do not take other people’s belongings,
nentaq,,makan lauk atau daging tanpa nasi ,eat side dishes without rice,v,,,,
nentaq nentus,,makan nasi tanpa lauk.,eat plain rice,v,,,,
nentekng,,berulang - ulang mengatakan sesuatu; mengolok. ,nag,v,,,,
nenteng,,tarik.,pull,v,,,,
nenyeng,,tajam dan lancip.,keen,a,,,,
nepaap,,"memukul dengan telapak tangan pada wajah orang lain, menangkap burung","slap, smack",v,,,,
nepeekng,,menepuk atau memukul dengan telapak tangan.,"slap, smack",v,,,,
nepok,,menarik cepat-cepat (kain),yank,v,,,,
nepok,,hela,sigh,v,,,,
nepoq,,merebahkan,to lay down,v,,,,
nepos,,meniup; menyumpit.,blowpipe,v,,,,
neraka,,neraka,hell,n,saq tanam neraka tabo yang belih aneh,,,
nerap,,menekan.,"press, push down",v,,,,
nerehatn,,menggoreng,fry,v,,,,
nerek,,pukulan musik,beat,n,,,,
nerenek,,mencincang-cincang,"chop, mince",v,,,,
neretek,,memukul berkali-kali dengan ranting; mencincang,to thrash; to beat,v,,,,
nerodok,,ketuk,"knock, tap",v,,,,
nerotok,,mengetuk kepala dengan tangan,tap,v,,,,
nerunih,,marah; gusar. ,"angry, annoyed, irritated",a,,,,
nerus,,melanjutkan,"continue, proceed",v,,,,
neruuq,,aduk,"stir, mix, blend",v,,,,
nesaap,,memotong ranting-ranting pada pangkalnya.,"prune, cut off, lop off",v,,,,
nesai,,mendesak dngan paksa.,"force, push",v,,,,
nesar,,menyesal (belakang),regret,v,nesar akuq heeq amput koq nemuhing,Saya menyesal tidak ikut denganmu kemarin,I regret not going with you yesterday,
nesek,,lari; melarikan diri.,escape,v,,,,
netaai,,"mencincang bambu untuk membakar ladang, untuk atap rumah, dinding rumah","chop, cut up",v,,,,
netaaq,,mengguyur air ke kepala,to douse the head with water,v,,,,
netaar,,memotong daging,cut meat,v,,,,
netai,,meneliti.,examine,v,,,,
netar,,tatap,"gaze, stare",v,netar ogeq ja we kayooq!,tatap terus ke mataku!,Keep staring into my eyes!,
netek,,memotong,cut,v,,,,
netek,,memantik (api),to light ,v,,,,
neu,,hari,day,n,,,,
newalakng,,melintangi; merintangi; menghalangi; menghambat,"to block,to hinder",v,,,,
ngaan,,disebabkan oleh kamu,because of you,v,,,,
ngaan kae,,disebabkan oleh dia,because of him/her,v,,,,
ngaang,,disebabkan oleh saya,because of me,v,,,,
ngaaq,,buat,make ,v,akui ewah ngaaq kopi tapi anum tih sooq celap,"Saya mau membuat kopi, karena air ini sudah dingin.",I’m going to make coffee; this water has gone cold,
ngaas,,kuat,"strong, sturdy",a,,,,
ngabah,,kira-kira; mengira-ngira,"estimate, guess",v,,,,
ngabatn,,"berkelompok besar, kawanan.","herd, flock, school, pack, group, crowd",n,,,,
ngabet,,jahit,sew,v,akui ewah ngabeet sapai seloar,Saya mau menjahit baju dan celana,I want to sew a shirt and pants,
ngabuq,,abu-abu,"gray, grey",a,,,,
ngacau,,mengganggu.,"disturb, bother",v,,,,
ngadoh,,mengasuh.,"take care of, look after",v,,,,
ngadu,,"mengadu, melapor.",report,v,,,,
ngae,,wereng; walangsangit; hama padi,"brown planthopper, rice pest",n,,,,
ngagah,,bercanda; mengoda bayi atau anak,"tease, play with",v,,,,
ngagau,,teriakan untuk mengusir binatang,a yell to drive animals away,v,,,,
ngagit,,"mengait sesuatu, cantol",hook,v,,,,
ngahamur,,menabur (bibit),sow,v,akuq ngahamur tulakng bayam,saya menabur bibit bayam,I am sowing spinach seeds,
ngahaus,,tidak jelas kelihatan kabur karena kecil sekali.,"unclear, blurry, indistinct",a,,,,
ngahih,,berbaring,lie down,v,,,,
ngahing,,membayar biaya berguru pada dukun.,to pay a shaman for apprenticeship,v,,,,
ngait,,mengait.,hook / clasp / latch,v,,,,
ngajap,,mengigau,sleep-talk,v,,,,
ngajapm,,meniru suara atau kelakuan orang,to imitate,v,,,,
ngajaq,,membesarkan,to raise,v,,,,
ngajiq,,meniru.,"imitate, mimic",v,,,,
ngajok,,tusuk (dengan pisau),stab,v,adui ngajok dang ladikng,jangan tusuk dengan pisau,do not stab with a knife,
ngajok ngejek,,berbicara dengan kasar terhadap orang ,"to speak harshly, to be rude, to insult",v,,,,
ngajok ngerok,,menusuk-musuk ke dalam lobang ,"to pierce, to poke, to thrust",v,,,,
ngakar,,"mencuri, cara menipu",steal,v,,,,
ngakauq,,mengaku,"admit, confess",v,,,,
ngakih,,mendorong atau menyingkirkan benda-- benda dengan menggunakan tangan/kaki.,"to push aside, to shove away, to clear away",v,,,,
ngakuq,,mengaku milik,claim,v,,,,
ngalaau,,memagar ladang,to fence the field,v,,,,
ngalah,,mengalah,"give in, yield",v,,,,
ngalakng,,memasang landasan; mengatur; memberi bentuk. ,to lay the foundation,v,,,,
ngalikng,,mengikat beberapa batang benda menjadi satu,"to tie together, to bundle together",v,,,,
ngaliq,,gali; menggali,dig,v,,,,
ngalir,,menindih dengan benda berat agar benda yang dilindih menjadi rata dan rapi kembali.,press down,v,,,,
ngalokng,,tulis; menulis; mengukir,write,v,ngalookng di buku,tulis di buku,write on the book,
ngalui,,mendahului,precede,v,,,,
ngaluk,,campur.,mix,v,,,,
ngamah,,meraba,"to feel, to grope, to touch",v,Aduui ujah ngamah kamah akuq joh!,Jangan meraba saya terus ya !,Stop groping me!,
ngamet,,menyambar,snatch,v,,,,
ngami,,dihemat,"to be saved, to be conserved, to be economized",v,,,,
ngamitn,,menggendong di depan,"to carry in front, to hold in front",v,,,,
ngamitn,,menggendong,carry,v,,,,
ngampeet,,menyatukan dua benda,"to combine,",v,,,,
ngamukng,,mengikat parang di pinggang,tie a machete to the waist,v,,,,
ngan,,buat,make,v,,,,
nganakng,,mengandangkan.,"to pen, to cage, to stall",v,,,,
ngamar,,"latihan ilmu sihir; berlatih, atau membuat kamar",,,,,,
nganatn,,"tanpa pedoman atau arah, berjalan dalam gelap ",to walk aimlessly,v,,,,
ngancar,,menari,dance,v,akuq anye beneh ngancar nee nyi,saya ikut-ikutan saja menari itu tadi,I just joined in the dancing earlier,
ngancekng,,babi dari luar yang berusaha nerusak kandang untuk berkelahi dengan babi yang sedang dikurung.,A wild pig trying to get into the pen to fight the penned pigs,n,,,,
ngancing,,"mengancing baju,memasukkan kancing ke lobang kancing ",to button,v,:,,,
ngani,,"berhemat, menghemat",to save,v,,,,
nganitn,,menjinjing; menggendong anak didepan,"to carry (by hand), to tote, to hold, to lug; to carry in front",v,,,,
nganog,,mimpi makan sesuatu,dream of eating something,v,,,,
nganok,,mengamuk.,"to go berserk, to go on a rampage, to rage, to be furious, to lash out",v,,,,
nganok nguras,,mengamuk habis-habisan,completely berserk,v,,,,
nganon,,mengaku barang orang lain sebagai miliknya,"to take credit for, to falsely claim ownership",v,,,,
nganoq,,bermimpi makan makanan yang enak.,to dream of eating delicious food,v,,,,
nganpar,,memungut kayu api di kampar,to collect firewood,v,,,,
nganpau,,memukul secara perlahan,"to tap, to pat",v,,,,
nganpe,,hujan lebat,"heavy rain, downpour",n,,,,
nganpi,,"memeras tebu, dengan penjepit, kayu bulat",to press sugarcane using a clamp,v,,,,
nganpi oraai,,cara orang dayak untuk mengambil minyak dari buah tengkawang,the Dayak method of extracting oil from tengkawang fruit,n,,,,
ngantapm,,menutup mulut dengan rapat,seal one’s lips,v,,,,
ngantiq,,mengganti,change,v,,,,
nganukng,,mengandung,contain,v,ugaan alpukat adiq nganukng vitamin,buah alpukat banyak mengandung vitamin,Avocados contain a lot of vitamins.,
nganyah,,menangkap ikan dalam lubuk yang kecil dengan memakai alat tradisional,"to catch fish, to fish, to trap fish using traditional tools",v,,,,
nganyaq,,"burung mengambil ancang- ancang untuk turun, bertengger",The bird poised to land,v,,,,
nganyar,,menari,dance,v,,,,
nganyiq,,menyetubuhi,to have sexual intercourse with,v,,,,
nganyur,,membawa orang supaya mengaku,to make someone admit,v,,,,
ngapai,,"semut bertebaran di nama- nama, orang yang tak terhitung banyaknya","Ants scattered everywhere, beyond counting",n,,,,
ngapar,,menambah ketebalan; memasamg titian.,to thicken / to make thicker / to reinforce / to strengthen,v,,,,
ngapeh,,menekan,press,v,,,,
ngapes,,terjepit (sengaja),"trapped, stuck, cornered intentionally",v,,,,
ngaput,,menutup,close,v,ngapuut ongat jooq!,Tutup jendela itu!,close the window!,
ngaput nagakng,,tutup pintu,close the door,v,adui likut ngapuut nagaakng,jangan lupa tutup pintu,don't forget to close the door,
ngaq,,dengan,"with, by. ","adv, prep",ayoq mosai ngaq jamit!,ayo mendayung dengan cepat!,"Let’s row with speed!, Let’s row quickly!",
ngaq,,membuat,make,va,,,,
ngaq ajaq was,,nyaring sekali,shrill,a,"Aduui begahaq ngaq ajaq was, baq rapat diq lapm.","Jangan berbicara nyaring sekali, ada rapat di dalam!",Don’t speak in such a shrill voice; there’s a meeting inside!,
ngaqnoq,,membuat lebih panjang atau iebih tinggi,lengthen / extend,v,,,,
ngaraakng,,menari,dance,v,,,,
ngarang,,mengada - ada;mengarang cerita,to make up (a story),v,,,,
ngarau,,dukun belian memanggil kembali roh si sakit,The shaman called back the spirit of the sick person,,,,,
ngarung,,memasukkan ke dalam karung,put into a sack,v,,,,
ngasaap,,menumpahkan,spill,v,,,,
ngasakng,,bernapas,breathe,v,Bersyukur ja Lahtala taai uge agi ngasakng!,Bersyukur kepada Tuhan kita masih bisa bernafas!,Thank God we can still breathe!,
ngasapm,,cara pengawetan ikan atau daging dalam larutan garam di dalam guci atau mangkuk. istilah untuk penyimpanan barang/pakaian yang kotior lalu tidak cepat dicuci atau istilah untuk perkara yang tidak cepat diseiesaikan.,salting/curing/brining,v,,,,
ngasok,,menugal langsung di ladang yang selesai dibakar tanpa membersihkan sisa ranting dan daun.,plowing directly / tilling / hoeing directly,v,,,,
ngasur,,melewati; menelusur; meniti,to trace / follow / track,,,,,
ngater,,menggaruk,scratch,v,,,,
ngatiq,,salah satu cara menangkap burung yang dilakukan di puncak pohon dengan umpan burung sejenis dengan perangkap lidi berperekat; mencari masalah,Bird liming / To birdlime,v,,,,
ngatokng,,mengaitkan tangan di badan orang lain.,To link arms / To hold arms / To put one's arm around someone,v,,,,
ngatup,,"mengunci, menutup rapat",lock,v,,,,
ngatur,,atur; mengatur,"organize, arrange",v,,,,
ngaur,,mengaduk,"stir, mix",v,,,,
ngawai,,penawar,Antidote / Cure / Countermeasure,n,,,,
ngawat,,merawat,To care for / To look after / To nurse,v,,,,
ngaweekng ganyiq,,ambil madu,harvest honey,v,,,,
ngaweh,,mengulurkan tangan untuk mengambil seorang,To reach out to grab/take someone,v,,,,
ngawekng,,memanjat ,climb,v,Kamiq kelapm no amput ngawekng ganyiq.,Kami tadi malam ikut memanjat (pohon untuk ambil) madu,We climbed a tree to collect honey last night,
ngayar,,mengiris tipi - tipis daging atau sayuran,slice thinly,v,,,,
